add-yield-none,2,80,320,184000,575,-3
add-yield-none,2,100,400,626000,1565,0
add-yield-none,2,1000,4000,914000,228,0
add-yield-none,2,10000,40000,7594000,189,-509
add-yield-none,2,100000,400000,63820000,159,-2456
add-yield-none,4,10,80,148000,1850,7
add-yield-none,4,20,160,128000,800,-4
add-yield-none,4,40,320,151000,471,0
add-yield-none,4,80,640,352000,550,2
add-yield-none,4,100,800,313000,391,13
add-yield-none,4,1000,8000,4650000,581,-81
add-yield-none,4,10000,80000,43377000,542,51
add-yield-none,4,100000,800000,96811000,121,-44
add-yield-none,8,10,160,340000,2125,2
add-yield-none,8,20,320,382000,1193,1
add-yield-none,8,40,640,949000,1482,2
add-yield-none,8,80,1280,1575000,1230,2
add-yield-none,8,100,1600,1275000,796,1
add-yield-none,8,1000,16000,13439000,839,-4
add-yield-none,8,10000,160000,126251000,789,-19
add-none,2,100,400,125000,312,0
add-none,2,1000,4000,136000,34,0
add-none,2,10000,40000,539000,13,0
add-none,2,100000,400000,3537000,8,8024
add-none,4,100,800,107000,133,0
add-none,4,1000,8000,159000,19,157
add-none,4,10000,80000,658000,8,-1302
add-none,4,100000,800000,6112000,7,-44671
add-none,8,100,1600,289000,180,0
add-none,8,1000,16000,197000,12,-417
add-none,8,10000,160000,1293000,8,-906
add-none,8,100000,1600000,12292000,7,-25064
add-none,12,100,2400,209000,87,-16
add-none,12,1000,24000,305000,12,924
add-none,12,10000,240000,1906000,7,-2475
add-none,12,100000,2400000,18720000,7,-150963
add-yield-none,2,10,40,110000,2750,0
add-yield-none,2,20,80,130000,1625,0
add-yield-none,2,40,160,156000,975,4
add-yield-none,2,80,320,155000,484,0
add-yield-none,2,100,400,210000,525,-24
add-yield-none,2,1000,4000,828000,207,0
add-yield-none,2,10000,40000,6081000,152,14
add-yield-none,2,100000,400000,63383000,158,-1059
add-yield-none,4,10,80,130000,1625,10
add-yield-none,4,20,160,127000,793,0
add-yield-none,4,40,320,156000,487,0
add-yield-none,4,80,640,169000,264,-17
add-yield-none,4,100,800,188000,235,0
add-yield-none,4,1000,8000,777000,97,-6
add-yield-none,4,10000,80000,11429000,142,-292
add-yield-none,4,100000,800000,80580000,100,-112
add-yield-none,8,10,160,272000,1700,0
add-yield-none,8,20,320,447000,1396,2
add-yield-none,8,40,640,609000,951,1
add-yield-none,8,80,1280,1092000,853,1
add-yield-none,8,100,1600,1245000,778,1
add-yield-none,8,1000,16000,13131000,820,6
add-yield-none,8,10000,160000,119267000,745,-2
add-yield-none,8,100000,1600000,-798589000,-499,-140
add-yield-none,12,10,240,369000,1537,3
add-yield-none,12,20,480,588000,1225,3
add-yield-none,12,40,960,1130000,1177,2
add-yield-none,12,80,1920,1521000,792,2
add-yield-none,12,100,2400,1831000,762,5
add-yield-none,12,1000,24000,18574000,773,6
add-yield-none,12,10000,240000,178265000,742,-22
add-yield-none,12,100000,2400000,-61256000,-25,-160
add-none,1,1,2,77000,38500,0
add-none,1,10,20,75000,3750,0
add-none,1,100,200,69000,345,0
add-none,1,1000,2000,137000,68,0
add-none,1,10000,20000,129000,6,0
add-none,1,100000,200000,657000,3,0
add-none,1,1000000,2000000,5419000,2,0
add-none,2,1,4,92000,23000,0
add-none,2,10,40,90000,2250,0
add-none,2,100,400,83000,207,0
add-none,2,1000,4000,115000,28,0
add-none,2,10000,40000,351000,8,2156
add-none,2,100000,400000,3340000,8,-36296
add-none,2,1000000,4000000,29912000,7,101296
add-none,4,1,8,115000,14375,0
add-none,4,10,80,134000,1675,0
add-none,4,100,800,114000,142,0
add-none,4,1000,8000,131000,16,-567
add-none,4,10000,80000,665000,8,-3306
add-none,4,100000,800000,6388000,7,18844
add-none,4,1000000,8000000,61290000,7,-425538
add-m,1,100,200,85000,425,0
add-m,1,1000,2000,120000,60,0
add-m,1,10000,20000,483000,24,0
add-m,1,100000,200000,4137000,20,0
add-m,2,100,400,111000,277,0
add-m,2,1000,4000,193000,48,0
add-m,2,10000,40000,1709000,42,0
add-m,2,100000,400000,11931000,29,0
add-m,4,100,800,140000,175,0
add-m,4,1000,8000,592000,74,0
add-m,4,10000,80000,4391000,54,0
add-m,4,100000,800000,44893000,56,0
add-m,8,100,1600,477000,298,0
add-m,8,1000,16000,1124000,70,0
add-m,8,10000,160000,13929000,87,0
